ID,pH,Temp_C,DBO5_mgL,DQO_mgL,SST_mgL,N_Total_mgL,P_Total_mgL,Grasas_Aceites_mgL,Conductividad_uScm,OD_mgL,Estado
3970,8.55,21.9,96.4,385.5,186.1,39.8,1.58,33.8,1177.0,3.6,PROBLEMATICO
3971,6.52,25.7,,148.0,140.5,14.6,0.56,36.7,2024.0,1.72,PROBLEMATICO
3972,,30.7,56.7,,125.9,11.3,2.27,4.1,1187.0,5.26,PROBLEMATICO
3973,,27.7,178.5,312.9,74.6,38.0,2.86,34.2,1095.0,3.55,PROBLEMATICO
3974,7.1,23.8,169.8,599.4,224.0,34.5,7.9,39.1,413.0,5.66,GRAVE
3975,,28.3,95.6,27.3,14.6,17.6,,22.2,1053.0,3.86,PROBLEMATICO
3976,7.23,25.3,224.6,115.3,116.6,32.8,5.49,30.5,1154.0,6.21,PROBLEMATICO
3977,7.61,31.4,,202.5,254.6,17.3,5.05,1.2,520.0,6.62,PROBLEMATICO
3978,8.74,28.7,219.2,435.6,63.6,18.2,1.61,38.9,1559.0,6.35,PROBLEMATICO
3979,7.68,25.4,281.4,259.2,15.6,50.0,7.44,0.6,1841.0,7.01,PROBLEMATICO
3980,5.74,28.2,98.3,39.5,71.7,19.5,2.7,25.9,2740.0,,PROBLEMATICO
3981,8.64,33.6,178.0,264.2,206.6,14.7,2.99,16.7,549.0,,PROBLEMATICO
3982,8.97,,62.6,61.9,213.4,22.3,5.14,35.1,1124.0,3.76,PROBLEMATICO
3983,10.78,29.0,27.0,363.2,105.6,13.4,11.5,16.3,1518.0,3.41,PROBLEMATICO
3984,5.65,26.6,102.4,194.4,12.9,19.0,2.3,38.2,1161.0,4.67,PROBLEMATICO
3985,7.29,29.1,2.6,235.2,125.4,26.6,0.89,2.1,676.0,7.12,TRATABLE
3986,4.5,23.7,35.6,326.9,257.8,57.7,,18.8,172.0,4.09,GRAVE
3987,7.66,27.6,173.2,287.0,13.1,23.7,6.05,42.3,1251.0,6.31,PROBLEMATICO
3988,,32.5,,152.6,245.8,29.9,2.7,14.5,,2.5,PROBLEMATICO
3989,9.31,22.3,183.9,436.1,29.5,28.2,2.22,22.7,1203.0,,GRAVE
3990,6.07,20.4,146.9,393.4,26.3,62.8,0.19,,1157.0,3.53,PROBLEMATICO
3991,4.97,20.5,286.6,69.4,150.9,40.0,5.01,12.9,1470.0,4.4,GRAVE
3992,6.43,21.1,167.2,208.6,234.8,4.1,9.83,5.6,1728.0,6.49,PROBLEMATICO
3993,4.63,30.0,220.3,,287.2,44.1,9.14,35.5,1430.0,4.04,GRAVE
3994,,20.0,156.2,21.7,239.2,5.0,4.9,21.9,334.0,7.73,PROBLEMATICO
3995,4.52,25.5,148.0,346.3,295.2,10.2,2.75,35.1,1521.0,5.5,GRAVE
3996,7.03,30.1,224.8,174.5,158.2,1.4,5.15,4.4,761.0,4.03,PROBLEMATICO
3997,4.51,,180.2,224.3,77.8,54.8,3.03,52.0,696.0,4.97,GRAVE
3998,6.62,25.1,138.9,129.5,258.4,43.4,2.08,22.9,444.0,2.39,GRAVE
3999,8.97,28.0,138.5,316.6,276.4,,4.49,0.6,1139.0,4.05,PROBLEMATICO
4000,7.43,27.5,168.4,372.1,233.1,40.6,7.83,32.6,823.0,4.14,PROBLEMATICO
4001,5.96,25.9,59.6,,201.3,34.4,3.43,40.8,995.0,4.89,GRAVE
4002,6.96,,55.8,217.4,279.2,16.2,3.4,,502.0,3.92,PROBLEMATICO
4003,7.02,38.2,248.3,10.7,174.2,25.7,3.21,7.0,1827.0,5.43,TRATABLE
4004,,,287.8,159.3,137.9,12.7,6.38,40.9,926.0,,GRAVE
4005,5.36,39.4,36.4,402.5,212.6,6.7,6.56,1.7,692.0,,PROBLEMATICO
4006,7.71,24.5,,110.9,187.8,10.5,0.77,34.3,17.0,4.46,TRATABLE
4007,3.75,26.6,222.8,16.8,228.5,64.4,3.47,28.3,2378.0,6.03,PROBLEMATICO
4008,6.24,20.3,168.0,114.7,126.8,15.1,7.32,17.1,112.0,6.58,PROBLEMATICO
4009,6.41,,180.9,154.0,230.9,40.0,3.0,5.0,1401.0,4.87,PROBLEMATICO
4010,,36.5,200.7,55.1,225.8,59.4,8.18,9.7,1663.0,6.23,PROBLEMATICO
4011,7.03,24.4,98.3,289.1,161.3,36.1,6.06,38.5,929.0,5.22,PROBLEMATICO
4012,5.31,36.6,149.7,235.8,65.0,,9.27,23.7,1493.0,5.14,PROBLEMATICO
4013,5.82,20.8,142.7,,264.1,8.7,3.07,39.9,1547.0,3.52,GRAVE
4014,,21.7,42.7,169.7,19.0,24.1,6.11,12.6,1788.0,6.92,TRATABLE
4015,6.91,25.3,148.4,350.5,,62.6,6.2,34.0,1623.0,4.72,PROBLEMATICO
4016,6.31,26.7,231.4,161.4,156.8,47.6,7.23,1.0,981.0,7.29,PROBLEMATICO
4017,6.42,31.6,89.9,46.7,110.8,,5.06,20.2,920.0,2.27,PROBLEMATICO
4018,7.84,29.3,133.7,152.3,294.3,18.3,7.34,6.8,2634.0,3.31,PROBLEMATICO
4019,6.38,24.9,138.6,41.3,141.5,,2.11,,1966.0,2.3,PROBLEMATICO
4020,6.89,26.3,94.4,571.9,293.9,25.4,3.83,1.2,711.0,6.67,GRAVE
4021,,25.4,180.9,275.6,,25.3,,19.7,1431.0,5.69,GRAVE
4022,5.29,,58.8,106.8,124.5,,,27.4,1476.0,1.42,PROBLEMATICO
4023,4.78,22.6,239.9,182.0,274.9,5.9,,41.9,1187.0,2.81,GRAVE
4024,,32.1,176.4,191.1,34.0,,4.99,16.1,2429.0,2.23,PROBLEMATICO
4025,6.19,17.9,35.7,508.2,183.3,1.1,,36.0,1128.0,6.56,PROBLEMATICO
4026,6.62,35.1,272.8,490.6,92.7,,5.69,30.3,1142.0,6.92,GRAVE
4027,6.06,25.3,135.1,269.4,209.6,22.5,6.34,13.3,1776.0,3.56,PROBLEMATICO
4028,6.69,23.1,54.9,,228.3,28.0,4.29,,539.0,0.36,PROBLEMATICO
4029,8.92,30.7,219.4,21.8,124.0,42.1,3.58,31.1,,0.54,PROBLEMATICO
4030,7.96,34.4,164.5,34.9,194.5,0.6,0.48,12.0,2229.0,7.12,TRATABLE
4031,8.03,32.6,39.5,55.5,234.5,,1.77,27.8,1179.0,6.97,TRATABLE
4032,5.3,29.5,72.7,221.0,158.8,45.5,0.52,19.9,637.0,7.62,PROBLEMATICO
4033,5.62,32.4,145.1,441.0,393.9,52.2,2.01,24.9,1322.0,4.25,GRAVE
4034,,18.4,74.4,181.0,126.3,3.2,6.74,48.9,1300.0,0.39,GRAVE
4035,6.03,24.4,127.7,312.6,305.6,6.8,0.31,,2136.0,5.48,PROBLEMATICO
4036,8.15,22.4,,426.2,254.5,31.8,1.53,19.6,1961.0,3.52,PROBLEMATICO
4037,7.62,33.1,13.5,42.3,46.0,22.9,2.59,15.6,1343.0,8.04,TRATABLE
4038,6.73,,144.4,582.2,289.3,23.0,,29.2,2360.0,5.87,GRAVE
4039,6.97,31.2,120.7,,247.4,,3.89,,2093.0,4.9,PROBLEMATICO
4040,6.17,29.7,12.8,342.5,151.4,35.0,4.4,4.8,1450.0,3.71,PROBLEMATICO
4041,7.25,22.7,,,176.9,17.7,,13.8,607.0,7.19,PROBLEMATICO
4042,7.92,24.1,195.4,424.8,189.3,17.1,8.18,23.6,2454.0,3.07,PROBLEMATICO
4043,5.06,33.5,93.9,302.7,277.5,1.6,4.25,6.8,2088.0,1.73,GRAVE
4044,7.36,23.1,102.1,507.1,98.7,36.2,1.3,32.8,352.0,4.66,GRAVE
4045,8.12,27.6,185.4,168.5,298.6,15.5,,2.1,784.0,6.68,PROBLEMATICO
4046,6.5,23.1,101.9,333.1,31.6,21.2,8.32,40.5,266.0,7.78,PROBLEMATICO
4047,7.84,25.4,53.8,487.9,36.0,43.4,5.92,42.8,448.0,1.35,PROBLEMATICO
4048,10.38,26.8,163.8,234.4,199.3,3.2,4.65,6.1,2088.0,7.04,PROBLEMATICO
4049,6.87,23.1,46.8,328.8,265.9,20.4,,47.4,1263.0,4.38,PROBLEMATICO
4050,7.47,22.2,84.9,380.4,122.0,6.0,1.51,9.1,735.0,,TRATABLE
4051,6.11,28.4,251.2,57.5,86.4,12.6,1.93,12.6,1729.0,1.64,PROBLEMATICO
4052,7.22,22.8,107.9,300.7,9.1,45.2,6.68,9.5,,3.73,PROBLEMATICO
4053,7.55,22.9,120.2,107.1,183.6,5.7,7.86,28.1,,5.8,PROBLEMATICO
4054,7.23,22.3,165.9,321.4,139.0,26.2,2.11,4.8,1627.0,4.5,PROBLEMATICO
4055,5.78,26.6,165.5,232.9,268.4,50.9,4.58,25.9,1648.0,4.26,GRAVE
4056,,31.7,37.3,79.7,147.3,31.9,5.86,19.8,624.0,3.82,PROBLEMATICO
4057,8.75,34.5,114.6,449.7,65.9,11.5,8.98,9.8,1268.0,4.51,PROBLEMATICO
4058,7.54,23.4,123.3,174.7,170.9,2.0,3.76,29.0,1178.0,4.55,PROBLEMATICO
4059,8.15,37.8,144.5,298.6,241.6,12.7,6.21,37.1,,,GRAVE
4060,6.72,22.0,146.0,486.5,275.1,50.1,9.98,18.3,1451.0,3.39,GRAVE
4061,7.9,,352.9,85.0,128.9,14.4,3.16,25.6,4.0,5.69,PROBLEMATICO
4062,7.34,23.4,,251.4,146.7,,4.19,11.2,1705.0,4.24,TRATABLE
4063,5.86,22.6,,160.8,217.9,3.6,0.68,40.0,930.0,,PROBLEMATICO
4064,7.38,23.3,226.5,,65.1,2.6,0.83,5.4,942.0,4.17,TRATABLE
4065,5.81,26.7,,638.1,213.7,13.1,6.63,0.5,849.0,3.36,GRAVE
4066,6.24,29.9,61.5,332.2,116.8,65.0,7.58,31.0,,6.55,PROBLEMATICO
4067,7.23,30.3,,306.4,,38.6,7.49,8.1,1040.0,5.79,GRAVE
4068,7.36,,77.3,344.3,,30.7,0.9,2.5,,4.28,PROBLEMATICO
4069,5.57,22.1,58.5,327.4,153.0,,3.38,9.7,441.0,6.05,PROBLEMATICO
4070,8.26,22.4,,78.6,331.4,55.0,5.44,,1208.0,5.74,PROBLEMATICO
4071,7.69,26.4,86.7,,93.1,31.5,,2.3,2678.0,3.36,PROBLEMATICO
4072,6.15,25.9,263.7,13.6,98.3,47.9,5.37,33.4,730.0,4.83,GRAVE
4073,5.15,22.2,,561.9,284.7,10.5,9.64,36.0,1189.0,5.25,GRAVE
4074,6.83,28.3,19.9,361.2,184.5,6.5,7.41,16.2,1789.0,5.48,PROBLEMATICO
4075,6.46,38.3,72.2,282.5,216.8,,,2.8,2729.0,8.02,PROBLEMATICO
4076,7.14,24.5,157.6,195.0,37.0,27.3,5.19,22.4,2286.0,5.79,PROBLEMATICO
4077,6.56,24.8,,718.9,164.6,25.3,4.65,19.1,,5.81,PROBLEMATICO
4078,4.59,29.8,75.9,358.8,221.0,45.8,4.81,36.1,1475.0,2.33,GRAVE
4079,6.53,24.2,247.8,253.2,72.6,13.1,4.32,13.7,1054.0,9.81,TRATABLE
4080,,30.3,256.2,153.7,202.8,36.9,,,1965.0,1.92,GRAVE
4081,7.76,23.4,82.7,132.1,119.6,3.1,2.98,,1116.0,3.4,TRATABLE
4082,6.16,36.2,33.9,259.1,75.5,42.0,4.93,15.8,2392.0,,TRATABLE
4083,9.01,28.7,74.2,82.5,241.3,46.9,5.88,7.3,151.0,3.87,PROBLEMATICO
4084,4.71,23.9,141.5,372.3,253.8,23.9,2.33,51.9,1629.0,2.75,GRAVE
4085,8.57,24.1,179.0,133.8,152.9,31.5,7.78,5.5,1723.0,1.26,PROBLEMATICO
4086,6.73,24.4,125.7,430.9,185.1,3.5,0.92,28.5,563.0,6.86,PROBLEMATICO
4087,8.03,,113.6,426.9,272.5,22.8,1.18,27.5,,3.47,PROBLEMATICO
4088,7.1,20.7,47.6,240.0,100.5,39.5,4.25,,2120.0,0.26,PROBLEMATICO
4089,8.37,23.7,178.9,,174.9,16.5,,12.5,1563.0,3.93,PROBLEMATICO
4090,6.54,24.2,271.0,363.5,101.4,49.5,6.92,10.5,1754.0,5.39,GRAVE
4091,5.68,26.9,79.5,13.2,38.2,10.1,2.72,16.8,2375.0,1.31,PROBLEMATICO
4092,8.7,25.6,113.0,561.7,,16.1,8.07,,958.0,5.74,GRAVE
4093,6.86,19.5,32.7,204.0,27.5,12.6,1.83,24.2,2370.0,5.13,TRATABLE
4094,7.27,25.0,14.1,375.2,182.6,,4.43,6.9,3248.0,2.76,PROBLEMATICO
4095,8.48,26.5,,380.3,62.8,18.2,,2.9,,5.07,TRATABLE
4096,5.76,23.9,154.2,198.1,,18.8,3.84,1.8,1503.0,7.75,PROBLEMATICO
4097,7.71,30.4,156.4,131.8,,,,7.4,1161.0,4.61,PROBLEMATICO
4098,6.29,31.6,251.4,401.3,207.8,,7.63,15.1,1347.0,3.5,PROBLEMATICO
4099,6.84,,,261.2,107.0,72.5,0.53,9.4,1323.0,2.85,PROBLEMATICO
4100,7.09,28.2,38.2,374.0,210.3,36.6,3.15,2.3,1219.0,,PROBLEMATICO
4101,5.2,16.2,98.6,266.6,59.4,22.5,8.36,49.8,,4.08,PROBLEMATICO
4102,6.07,24.9,,,102.8,9.9,8.76,11.4,1498.0,4.02,PROBLEMATICO
4103,8.62,32.0,11.4,270.5,,,1.5,33.0,1363.0,6.26,PROBLEMATICO
4104,8.06,24.9,,506.3,,29.9,1.94,7.3,2156.0,,PROBLEMATICO
4105,6.92,23.3,137.5,73.6,101.8,12.5,1.1,39.0,1600.0,1.74,PROBLEMATICO
4106,7.29,38.4,172.9,227.0,80.4,39.8,2.37,5.1,688.0,4.91,PROBLEMATICO
4107,6.65,36.1,87.8,143.2,,20.5,2.83,65.4,433.0,3.52,PROBLEMATICO
4108,8.63,29.3,191.1,320.0,,20.6,2.06,8.6,1196.0,,PROBLEMATICO
4109,,32.7,82.8,,154.9,24.1,10.18,4.2,592.0,2.2,PROBLEMATICO
4110,7.28,15.9,220.5,208.7,258.1,19.3,5.04,11.6,1301.0,6.09,PROBLEMATICO
4111,,23.1,151.0,123.1,334.7,27.0,3.37,8.6,,,PROBLEMATICO
4112,,24.7,101.4,167.1,,59.3,5.97,6.1,2094.0,5.8,PROBLEMATICO
4113,8.87,25.8,139.1,248.2,81.0,,7.09,41.5,1610.0,6.05,PROBLEMATICO
4114,5.16,24.6,118.4,113.8,189.7,29.6,7.64,39.6,1895.0,2.7,GRAVE
4115,8.96,14.2,263.6,164.3,58.0,36.2,4.78,8.9,1085.0,6.23,PROBLEMATICO
4116,,28.9,142.1,260.6,264.2,20.0,3.93,33.2,1339.0,4.25,PROBLEMATICO
4117,6.71,29.7,119.9,248.5,69.8,4.7,4.47,40.6,1842.0,,PROBLEMATICO
4118,4.73,35.0,98.5,215.2,120.7,32.3,3.82,14.8,1456.0,5.1,PROBLEMATICO
4119,6.45,23.1,195.9,182.1,56.2,14.9,2.41,2.9,,,PROBLEMATICO
4120,5.75,,,347.6,,35.5,,38.1,723.0,6.36,GRAVE
4121,6.27,,95.4,129.0,161.7,,3.42,35.3,1800.0,7.12,PROBLEMATICO
4122,6.84,25.5,16.0,532.5,214.3,19.3,0.96,7.6,791.0,3.67,PROBLEMATICO
4123,,31.5,38.8,402.7,152.0,64.5,4.06,40.5,2660.0,2.32,GRAVE
4124,,23.9,,22.2,144.6,21.4,6.15,3.4,1336.0,4.45,PROBLEMATICO
4125,7.37,37.7,241.4,198.8,82.6,20.5,0.37,21.8,1973.0,5.97,PROBLEMATICO
4126,,25.7,97.5,524.9,111.4,35.5,3.19,0.3,891.0,3.28,GRAVE
4127,5.94,27.7,66.5,124.4,0.7,42.9,1.59,18.0,1050.0,5.42,PROBLEMATICO
4128,9.16,20.2,38.5,240.5,279.4,35.0,10.55,17.1,1016.0,,GRAVE
4129,6.12,28.4,256.2,502.7,130.6,43.2,4.28,55.2,32.0,6.75,GRAVE
4130,8.99,17.1,171.2,152.7,304.1,9.7,8.66,14.2,,5.26,PROBLEMATICO
4131,6.71,30.5,191.6,452.1,127.9,23.7,4.73,1.1,998.0,1.05,PROBLEMATICO
4132,7.0,30.6,206.6,86.2,50.2,7.1,5.0,,122.0,3.91,TRATABLE
4133,8.28,,105.2,269.8,95.0,31.4,3.82,20.9,1400.0,4.08,PROBLEMATICO
4134,8.53,21.9,127.6,471.1,,49.4,3.33,9.4,1089.0,4.68,PROBLEMATICO
4135,6.87,27.8,254.0,329.0,146.5,15.4,3.78,24.6,773.0,0.0,GRAVE
4136,6.53,29.8,136.2,,207.7,33.7,2.03,28.3,827.0,2.9,GRAVE
4137,6.93,29.2,172.9,53.3,157.4,,3.97,39.0,1183.0,4.14,PROBLEMATICO
4138,7.41,22.7,198.3,67.6,106.3,21.7,0.87,,2188.0,5.38,PROBLEMATICO
4139,8.07,15.0,177.9,457.1,48.5,12.7,4.52,6.8,880.0,9.02,TRATABLE
4140,7.01,,108.5,293.8,99.4,54.4,0.39,18.7,51.0,5.82,PROBLEMATICO
4141,7.74,26.2,117.0,228.9,200.5,,4.28,6.9,39.0,2.51,PROBLEMATICO
4142,8.97,24.2,190.0,289.8,225.8,23.6,4.96,34.1,,2.84,PROBLEMATICO
4143,7.46,30.8,189.8,521.5,72.6,46.6,8.25,24.0,510.0,3.14,GRAVE
4144,7.37,,225.1,380.3,240.7,13.0,4.95,,1055.0,3.72,PROBLEMATICO
4145,,20.4,169.6,164.6,,29.8,3.2,16.5,1319.0,4.95,PROBLEMATICO
4146,3.84,,173.7,2.6,51.3,24.0,2.11,33.6,1576.0,2.61,PROBLEMATICO
4147,7.47,21.4,79.8,355.8,164.7,9.7,6.15,36.0,1596.0,4.06,PROBLEMATICO
4148,6.89,39.0,67.7,83.7,177.0,43.9,3.7,13.7,780.0,4.1,TRATABLE
4149,6.38,30.6,190.3,37.2,33.6,52.9,1.74,53.6,1641.0,5.18,PROBLEMATICO
4150,7.29,27.9,68.3,486.8,4.1,33.8,4.46,,131.0,3.69,PROBLEMATICO
4151,6.93,26.1,118.1,407.0,187.4,16.7,1.57,24.5,1296.0,2.97,PROBLEMATICO
4152,8.35,25.8,244.1,319.4,94.6,4.0,4.24,,1349.0,3.09,PROBLEMATICO
4153,7.1,32.8,229.9,27.1,291.2,25.2,1.66,8.4,1288.0,,PROBLEMATICO
4154,6.1,24.5,147.2,572.1,,19.2,3.02,18.6,474.0,3.05,GRAVE
4155,8.19,29.9,93.3,435.2,187.2,20.3,9.98,13.0,551.0,5.9,PROBLEMATICO
4156,6.74,25.3,,195.3,235.2,13.1,2.54,45.6,1653.0,,PROBLEMATICO
4157,7.63,36.7,198.1,,,11.5,6.37,1.9,907.0,2.32,PROBLEMATICO
4158,,30.7,116.7,,6.8,22.5,7.15,24.1,1613.0,6.98,PROBLEMATICO
4159,6.22,33.2,69.8,,125.9,0.2,6.56,21.0,,4.66,PROBLEMATICO
4160,7.1,,229.4,648.1,11.3,40.7,,,3197.0,3.17,GRAVE
4161,7.02,32.3,,180.6,170.8,8.3,0.68,30.7,1004.0,8.16,PROBLEMATICO
4162,7.58,25.4,,57.8,61.6,24.0,2.05,40.9,2036.0,,TRATABLE
4163,6.68,27.6,163.1,535.9,159.0,16.2,0.5,4.4,2864.0,5.22,PROBLEMATICO
4164,4.8,35.2,207.4,,122.7,33.7,2.94,2.2,1977.0,4.53,PROBLEMATICO
4165,6.48,21.8,29.3,391.6,203.7,32.7,2.98,33.4,953.0,7.38,PROBLEMATICO
4166,7.95,28.0,102.0,371.6,172.6,31.1,1.26,36.5,1132.0,8.06,PROBLEMATICO
4167,6.64,29.2,97.8,239.5,,1.0,5.64,10.9,1115.0,5.02,PROBLEMATICO
4168,6.7,29.6,160.7,74.9,,18.5,2.52,20.3,,4.64,TRATABLE
4169,8.18,24.7,176.9,241.3,156.3,50.8,2.91,4.1,,6.37,PROBLEMATICO
4170,6.15,37.4,70.4,39.4,34.2,15.8,0.71,13.3,793.0,3.53,TRATABLE
4171,5.15,20.5,,245.7,264.6,40.9,4.21,10.5,,4.99,GRAVE
4172,6.81,34.3,212.9,389.1,192.9,21.8,3.72,28.1,,3.2,PROBLEMATICO
4173,6.42,33.1,19.2,559.2,224.3,16.4,2.2,1.1,788.0,8.29,PROBLEMATICO
4174,5.84,,144.4,54.2,43.1,25.4,5.14,13.7,520.0,6.67,PROBLEMATICO
4175,6.79,19.1,108.1,204.9,175.6,7.0,4.36,34.7,1903.0,,PROBLEMATICO
4176,7.59,22.7,134.6,155.5,73.3,38.2,5.76,,297.0,,PROBLEMATICO
4177,6.99,34.5,268.6,299.3,154.9,6.6,5.9,50.0,,6.32,GRAVE
4178,7.37,17.6,393.4,23.9,40.2,32.0,6.15,40.2,1368.0,5.35,PROBLEMATICO
4179,9.18,19.0,27.0,82.8,131.7,41.4,9.01,3.7,2156.0,5.11,PROBLEMATICO
4180,6.59,,208.6,54.6,2.1,,,25.7,868.0,7.81,TRATABLE
4181,,28.0,,8.9,124.0,11.8,1.16,,258.0,2.68,PROBLEMATICO
4182,6.39,35.0,214.3,131.1,24.4,25.3,2.71,36.4,756.0,3.29,TRATABLE
4183,5.98,26.1,206.2,550.8,314.7,,2.79,24.4,1171.0,3.43,GRAVE
4184,6.3,24.0,246.9,312.6,156.0,18.2,,6.0,1891.0,1.61,PROBLEMATICO
4185,6.43,,145.6,261.7,140.6,12.6,3.54,23.6,1764.0,0.52,PROBLEMATICO
4186,,29.3,39.9,492.4,,8.3,4.69,8.4,1048.0,4.16,TRATABLE
4187,9.82,29.2,203.5,319.0,10.1,33.4,4.1,3.4,1146.0,5.99,PROBLEMATICO
4188,6.14,,130.6,336.0,61.9,39.7,,13.0,1688.0,4.05,PROBLEMATICO
4189,6.5,17.2,99.0,164.9,193.1,41.0,9.55,19.5,1939.0,2.86,PROBLEMATICO
4190,6.92,22.4,77.1,135.3,,26.4,6.04,38.4,1429.0,6.93,PROBLEMATICO
4191,7.47,34.1,210.6,14.0,68.0,48.4,5.69,6.1,1402.0,2.23,PROBLEMATICO
4192,7.32,27.9,264.3,141.8,204.8,9.8,1.51,19.5,1367.0,0.8,PROBLEMATICO
4193,8.54,25.4,12.4,199.5,170.3,45.1,4.57,11.5,1388.0,1.45,PROBLEMATICO
4194,4.09,32.6,176.0,312.0,190.6,38.4,3.65,19.6,1389.0,7.63,PROBLEMATICO
4195,4.14,21.3,86.5,243.4,179.0,22.7,4.44,18.3,502.0,4.09,PROBLEMATICO
4196,6.4,25.9,12.1,184.3,71.9,26.0,,10.4,67.0,7.04,TRATABLE
4197,8.32,27.7,133.3,85.9,132.4,40.7,5.26,32.1,586.0,6.94,PROBLEMATICO
4198,5.12,24.8,45.0,321.8,45.7,33.9,0.11,20.6,875.0,0.63,GRAVE
4199,3.39,27.5,22.0,160.4,88.9,26.7,13.11,,1660.0,4.62,PROBLEMATICO
4200,7.69,26.1,49.6,313.7,115.5,13.9,8.34,18.1,1010.0,6.05,PROBLEMATICO
4201,7.29,20.0,27.5,94.4,202.7,5.4,,11.9,1342.0,2.35,PROBLEMATICO
4202,5.69,27.9,61.8,310.6,191.2,23.9,0.17,12.5,1249.0,1.92,PROBLEMATICO
4203,5.82,20.4,0.7,384.4,64.8,1.4,0.86,45.3,1547.0,5.51,PROBLEMATICO
4204,5.84,27.8,84.4,,62.6,35.2,4.82,13.1,900.0,2.11,PROBLEMATICO
4205,7.13,33.9,55.8,214.6,270.7,9.9,3.09,3.1,692.0,5.07,PROBLEMATICO
4206,6.25,,153.8,414.8,110.6,27.5,9.54,2.1,47.0,6.01,PROBLEMATICO
4207,7.59,21.1,173.4,,151.4,17.0,5.88,32.6,1433.0,6.28,PROBLEMATICO
4208,3.57,26.4,143.4,233.9,218.5,14.1,3.88,,895.0,6.11,PROBLEMATICO
4209,5.97,,98.8,215.2,132.0,17.0,8.44,0.4,1314.0,7.06,PROBLEMATICO
4210,5.65,30.0,96.4,436.6,124.8,29.9,4.55,31.5,1822.0,,GRAVE
4211,6.69,26.3,44.7,113.7,108.5,,4.69,22.1,1095.0,7.88,TRATABLE
4212,6.35,35.5,46.8,59.5,89.1,6.4,,10.7,1456.0,3.47,TRATABLE
4213,7.96,32.8,183.3,564.5,154.3,6.6,1.97,8.9,898.0,2.34,GRAVE
4214,4.77,26.2,,187.5,42.2,78.2,7.06,25.0,1196.0,6.65,PROBLEMATICO
4215,7.05,30.6,112.7,396.6,103.9,3.0,5.7,29.9,,5.74,PROBLEMATICO
4216,7.67,25.0,,123.9,194.0,29.1,1.24,2.2,1686.0,1.09,PROBLEMATICO
4217,9.23,,173.9,,182.4,7.7,9.87,21.6,1001.0,6.25,GRAVE
4218,6.42,25.2,8.3,504.5,281.1,5.6,2.63,13.2,368.0,5.07,PROBLEMATICO
4219,7.39,30.8,121.1,302.8,223.7,2.2,0.9,0.9,1429.0,4.57,PROBLEMATICO
4220,4.84,34.2,150.9,508.2,180.8,42.3,1.67,7.0,1111.0,,GRAVE
4221,4.13,,51.4,161.4,142.9,43.7,0.89,14.2,712.0,7.12,PROBLEMATICO
4222,8.01,31.6,23.3,185.2,94.3,10.8,4.59,8.7,1652.0,,TRATABLE
4223,,31.6,,,190.3,38.4,8.87,25.3,2598.0,5.8,GRAVE
4224,8.41,29.8,166.3,170.9,172.3,3.4,4.75,2.2,1530.0,2.0,PROBLEMATICO
4225,5.35,21.3,136.4,357.5,102.6,14.8,8.76,2.9,1758.0,2.05,GRAVE
4226,7.62,35.5,,,53.3,,7.2,24.1,1306.0,2.85,GRAVE
4227,9.24,36.0,22.9,406.3,134.7,4.0,4.0,6.9,2201.0,6.43,PROBLEMATICO
4228,,25.8,23.0,34.2,255.6,8.7,6.7,11.1,1657.0,3.85,PROBLEMATICO
4229,7.33,25.1,,188.6,151.0,22.4,2.26,13.1,,5.74,PROBLEMATICO
4230,7.01,30.1,9.4,300.7,142.8,22.7,5.54,1.0,1618.0,3.31,PROBLEMATICO
4231,5.11,29.8,42.1,206.1,182.3,2.6,3.83,5.7,1502.0,7.3,PROBLEMATICO
4232,8.63,26.0,,264.3,188.1,62.2,12.36,14.7,923.0,,GRAVE
4233,6.27,20.7,137.0,303.1,164.9,6.8,5.31,14.7,2070.0,4.06,PROBLEMATICO
4234,7.61,28.5,68.9,155.2,135.8,39.1,5.75,24.5,315.0,4.03,PROBLEMATICO
4235,,29.8,57.2,215.2,89.2,32.7,7.23,25.3,1460.0,5.87,PROBLEMATICO
4236,5.58,30.6,175.9,37.4,240.5,7.5,0.47,36.9,,5.22,PROBLEMATICO
4237,8.72,28.7,139.1,164.0,97.3,,7.25,12.1,76.0,7.46,PROBLEMATICO
4238,6.58,25.6,10.7,24.8,297.2,6.9,3.35,31.4,1282.0,7.09,PROBLEMATICO
4239,8.74,32.0,55.3,271.0,155.4,23.3,1.93,8.9,,3.1,TRATABLE
4240,6.91,27.3,289.4,,145.3,36.8,6.46,26.8,,4.59,GRAVE
4241,4.79,,10.0,85.2,216.0,12.0,0.46,21.1,458.0,4.48,PROBLEMATICO
4242,8.07,26.1,167.5,571.3,74.7,29.4,6.82,4.6,2607.0,,PROBLEMATICO
4243,6.29,18.3,256.0,205.8,197.4,11.6,3.53,42.4,522.0,1.42,GRAVE
4244,7.84,26.1,133.3,301.6,151.5,25.2,3.7,28.7,313.0,4.46,PROBLEMATICO
4245,7.03,30.4,66.0,135.0,181.1,23.9,2.73,22.6,,6.25,TRATABLE
4246,5.15,28.7,8.3,175.4,71.6,15.4,6.7,54.4,1524.0,4.89,PROBLEMATICO
4247,7.2,34.6,9.6,308.4,70.7,11.0,4.74,2.5,227.0,5.18,TRATABLE
4248,9.64,,153.9,190.2,43.3,36.1,2.6,,781.0,7.37,PROBLEMATICO
